Acinetobacter calcoaceticus 
Actinomyces israelii 
Bacillus anthracis 
Bacillus subtilis 
Bacillus mycoides 
Bordetella pertussis 
Borrelia burgdorferi 
Borrelia recurrentis 
Brucella melitensis 
Brucella abortus 
Brucella suis 
Brucella canis 
Clostridium tetani 
Corynebacterium diphtheriae 
Campylobacter jejuni 
Enterococcus faecalis 
Escherichia coli 
Eubacterium alactolyticum 
Enterobacter cloacae 
Francisella tularensis 
Flavobacterium meningosepticum 
Helicobacter pylori 
Klebsiella pneumoniae 
Legionella pneumophilia 
Leptospira interrogans 
Mycobacterium tuberculosis 
Moraxella catarrhalis 
Moraxella lacunata 
Neisseria gonorrhoeae 
Neisseria meningitidis 
Proteus mirabilis 
Proteus vulgaris 
Pseudomonas aeruginosa 
Providencia alcalifaciens 
Providencia stuartii 
Providencia rettgeri 
Rickettsia prowazekii 
Salmonella choleraesuis 
Salmonella typhimurium 
Salmonella enteritidis 
Serratia marcescens 
Staphylococcus aureus 
Staphylococcus epidermidis 
Staphylococcus saprophyticus 
Streptococcus pneumoniae 
Streptococcus pyogenes 
Shigella dysenteriae 
Shigella flexneri 
Shigella boydii 
Shigella sonnei 
Spirillum minus 
Treponema pallidum 
Ureaplasma urealyticum 
Vibrio cholerae 
Xanthomonas maltophilia 
Yersinia pestis 
Abudefduf cyanea
Actinia equina
Actinodiscus species
Amblygobius bynoesis
Amblygobius albimaculatis
Amblygobius phalaena
Amphiprion akindynos
Amphiprion clarkii
Amphiprion ephippium
Amphiprion frenatus
Amphiprion latezonatus
Amphiprion melanopus
Amphiprion nigripes
Amphiprion ocellaris
Amphiprion percula
Amphiprion sebae
Apogon compressus
Apogon margaritophorus
Caulastrea curvata
Centropyge argi
Centropyge bicolor
Centropyge flavissimus
Centropyge loriculus
Centropyge resplendens
Centropyge shepardi
Centropyge tibicen
Chaetodipterus faber
Chrysiptera cyanea
Chrysiptera traceyi
Coryphaena hippurus
Crassostrea virginica
Cryptocentrus cinctus
Cyprinodon variegatus
Dascyllus aruanus
Dascyllus trimaculatus
Diadema antillarium
Equetus umbrosus
Favia fragum
Genicanthus melanospilos
Glyphidodontops cyaneus
Gobiodon citrinus
Gobiodon okinawae
Gobiosoma oceanops
Gramma loreto
Gramma melacara
Haemulon flavolineatum
Hemiscyllium oscellatum
Heteractis aurora
Heteractis crispa
Hippocampus abdominalis
Hippocampus erectus
Hippocampus histrix
Hippocampus reidi
Hippocampus zosterae
Histrio histrio
Homalopoma indutum
Hymenocera picta
Hypsoblennius hentz
Liopropoma rubre
Lithopoma tectum
Lysmata amboinensis
Lysmata californica
Lysmata debelius
Lysmata rathbunae
Lysmata wurdemanni
Meiacanthus grammistes
Meiacanthus mossambicus
Mercenaria mercenaria
Montipora vericosa
Muricea species
Nautilus pompilius
Nemateleotris decora
Notoacmaea digitalis
Octopus bimaculatus
Octopus briareus
Octopus species
Oenopota lividensis
Opistognathus aurifrons
Oxymonacanthus longirostris
Palaemonetes pugio
Pempheris schomburgkii
Plexaura species
Pomacentrus caeruleus
Premnas biaculeatus
Pseudanthias squamipinnus
Pseudocheilinus hexataenia
Pseudochromis dilectus
Pseudochromis fridmani
Pterapogon kauderni
Ptereleotris zebra
Pterosynchiropus splendidus
Ptilosarcus gurneyi
